0,"People Management Skills, FMCG Sales, Retail Sales, Marketing, Retail Merchandising, Store Merchandising, Market Research,  Marketing Management,Stores,Retail Marketing,Customer Marketing,Market Development,Customer Service"
1,"HTML,HTML5,CSS,CSS3,Photoshop,j query,BootStrap,Wordpress,Open-Cart,MIS EXCEL, COMPUTER OPERATER   IT Skills Details  JQuery,UI Development,Javascript,Dreamweaver,Responsive Web Design,User Interface Designing,Web Designing,Web Development,Web Technologies,Opencart"
2,"CakePHP,WORDPRESS,C,C++,CORE PHP,HTML,JAVASCRIPT,MYSQL,ORACLE   IT Skills Details  Wordpress CMS,JQuery,Ajax,Web Development,Yii,Web Technologies,NetBeans,Core Java,OOPS"
3,"UI Development, UI Developer, HTML, ASP.Net, C#.Net, SQL Server, jQuery,,wcf,ssrs,ssis,microsoft visual studio 2014,angular js   IT Skills Details  Visual C#,Javascript,Web Services,Web Application Development,Web Designing,Web UI,MVC,Web Technologies,MS SQL Server,Microsoft Technologies"
4,"ASP.Net, C#.Net, SQL Server, LINQ, ASP.Net MVC, Ajax, JQuery, JSON, Entity Framework,   IT Skills Details  MS SQL Server,ADO.Net,HTML,SQL Azure,.NET Framework,Windows Application,Microsoft Azure,Visual Studio,Software DevelopmentASP .Net MVC developerASP.NET Keyskills:    .Net,ASP.Net MVC,C#,SQL,ADO.Net   Keyskills:    C#.NET,Asp.net,SQL Server,jQuery,HTML,ajax,crystal report,javascript,html,css,json,rational rose,linq   Keyskills:    ASP.Net MVC,C#,ADO.Net,SQL Server,Javascript,jQuery,HTML,CSS,entity framework,bootstrap, Ms office 2013,VS  ...View More  2013,Sql server 2008    Keyskills:    Asp.Net ,C#,JavaScript,Angularjs, SQL Server, MVC Framework,   Keyskills:    SOFTWARE, .Net, ASP.Net, C#.Net, SQL Server, ASP.Net MVC, Angularjs, Ionic Framework,   Keyskills:    .NET Framework, C#, ASP.Net, SQL Server, Entity Framework, jQuery, HTML, CSS, Javascript, CSS3, HTML5   Keyskills:    ASP.Net MVC, C#, LINQ, Dapper, SQL Server, JSON, Ajax, Javascript, jQuery, Basics in Angular.js, Web Services,  ...View More  API, Payment Processing,, .net Framework    Keyskills:    Javascript,ASP.Net MVC,CSS,Entity Framework,SQL Server,Ajax,HTML,JQuery   Keyskills:    C#, ASP.Net, SQL Server,"
5,"c, bootstrap , ado.net.javascript ,css , html, sql server,c#  asp.net,bootstrap,ado.net.javascript,css,html,sql server   IT Skills Details  C#.Net,Windows Forms,Windows Application,User Controls,Software Development,Software Engineering,WCF,Web Application,JQuery,Project Server1.6  year experience in Software engineer in asp.net technologyASP.NETC#ADO.NETCBOOTSTRAPSQL ServerJavaScript Keyskills:    ASP.Net,Ado.Net, C#, SQL, ,Mysql,HTML, javascript,css, MVC 4, LINQ,, XML, data formeting, Data Mining, Data  ...View More  Analyst, Microsoft Excel, Microsoft Office    Keyskills:    C#,Ado.net,Asp.net,JavaScript,Ajax,Grid View, MVC,Sql Server etc., C#, ASP.NET, ADO.NET   Keyskills:    ASP.NET,ADO.NET, HTML,CSS,Java Script,C#  with .Net,MS-SQL Server 2008, C# with asp.net   Keyskills:    ASP.Net, C#.Net, SQL Server, Javascript, HTML, Software Developer,C#.Net,SQL Server,Javascript,HTML,Software  ...View More  Developer, ASP.NET, C#, CSS    Keyskills:    ASP.NET MVC, LINQ, AngularJS, XML, JSON, ADO.NET,  AJAX,  WCF Services,   SQL SERVER,  HTML5, JAVASCRIPT,  ...View More  WinForms, Dot Net Developer,Entity Framework., ASP.NET, ADO.NET    Keyskills:    c#,asp.net,sql server2008,css, Javascript,   Keyskills:    ASP.Net, C#.Net, HTML, CSS,   Keyskills:    C#, ASP.Net, ASP.Net MVC,SQL Server, LINQ,jquery   Keyskills:    ASP.Net MVC, MySQL, Javascript, Ajax, LINQ, WCF Services,, SQL Server   Keyskills:    C#, Asp.Net, MVC, jQuery, JavaScript, JSON, LINQ, SQL, Entity Framework, WCF- RESTFul, SQL Server, Asp.Net Web  ...View More  API, AngularJs 1.3"
6,"Core PHP, MySQL, Javascript, Wordpress,  jQuery, JSON, Ajax,cake php, Codeigniter, angular js   IT Skills Details  Wordpress CMS,HTML,Web Development"
7,"Wordpress CMS,Theme Customization,PHP,Core PHP,Ajax,jQuery,HTML5,CSS,Joomla,Wordpress,MySQL,HTML,WAMP,JQuery,Dreamweaver,CakePHP   IT Skills Details  Bootstrap"
8,"M.C.A with excellent knowledge with php ,cakephp , joomla ,wordpress,drupal,opencart.magento , prestashop 1.6   IT Skills Details  Core PHP,Zend Framework,MySQL,Javascript,HTML,CSS"
9,"Team management,Team handling,Team building,Telemarketing,Corporate sales,Channel partners management,Channel management,Channel development,Direct sales  Business Development,Channel Sales Management,Key Account Management,Territory Sales Management,Distribution Channel Management,Dealer Management,Sales Planning,Postpaid Sales,Appoint,SME Sales"
10,"HTML, CSS, JAVA SCRIPT, JQUERY, Core PHP, Cake PHP, MySQL, WordPress, Android WebServices   IT Skills Details  Javascript,Codeigniter,Ajax,Core Java,JSON,Web Development,Java Web Services,Web Technologies"
11,"PHP, Ajax, HTML, CSS,AngularJS, JavaScript, JSON,MySQL,Java,Zend, YII, Wordpress CMS, Photoshop, Corel Draw, Business Analytics, Unix, Windows, Codeigniter,   IT Skills Details  JQuery"
12,"c,c++,java,html,css,php,javascript,jquery,ajax.   IT Skills Details  Core PHP,Web Development,Zend Framework,Java Servlets,Web Technologies,Advanced Java,Core Java,ASP.Net,ASP,MySQL"
13,"AWS,NodeJS,AngularJS, Android, PHP, MySQL, Javascript, AJAX, XML, PERL, JQUERY, JSON, Zend, Symfony, Yii, HTML, CSS, Oracle,LAMP, Android SDK, Cordova, Phonegap,   IT Skills Details  UI DevelopmentWeb Developer / Software Developer / Team Leader with close to 7 Years of Work ExperienceAJAXPHPMySQLJavaScriptYIIZENDSYMFONYOracleCordovaPhoneGapANDROID Keyskills:    Ruby Rails, Phonegap, Android, Postgresql, HTML, CSS, Javascript, JQuery, JSON,, Cordova, AngularJs   Keyskills:    JavaScript, CSS3, HTML5, JQuery, JSON, AJAX, ZURB Foundation, Bootstrap, Flash Action Script 3.0, 2.0, SCORM  ...View More  1.2, Flex 4.5 for Android - (Interactive level), PhoneGap for Web based mobile applications development, PHP, HTML, HTML5    Keyskills:    Xamarin,Xamarin forms,ionic,Hybrid mobile application development,Phonegap,cordova,Ibm  ...View More  worklight,AngularJs,Jquery,JQuery Mobile,Javascript,HTML5,CSS,ASP.Net,SQL Server,C#,WCF,ADO.Net,JSON,Ajax,Android SDK,IOS,XCode,SQLite,XML,WCF Services,LINQ,    Keyskills:    HTML 5, CSS 3, Javascript, JQuery, Bootstrap, AngularJS, HTML, CSS, Ajax, DOM, Photoshop, Illustrator,   Keyskills:    HTML5, HTML, CSS3, CSS, Dreamweaver, Photoshop,coraldraw, Js, jquery, basic Angular js, Flash   Keyskills:    HTML5, CSS3, Javascript, JQuery, Angular JS, bootstrap, CSS, HTML   Keyskills:    Bootstrap,html5,css,Javascripts,Jquery,AngularJs etc . Project management,Vendor development,Business  ...View More  development,Technology Management,IT Strategy Planning,Karma,Angularjs,Grunt,HTML,Node.Js,CSS,Ajax,Web Technologies,Jasmine,Gulf,bower,npm, JavaScript, C#.NET, SQL, Angular js    Keyskills:    Angular JS, JAVA, JSP, CSS, HTML, JQUERY, Ext-js, JavaScript, Spring MVC, PL-SQL, Oracle Databases, Angular  ...View More  JS, XML, XSL, JSON, AJAX, CORE JAVA, C, C++    Keyskills:    PHP,MySql,CodeIgniter, Symfony, Laravel, Dreamfactory, Angularjs,Opencart"
14,"Javascript, PHP, Zend Framework, backbone,angularjs,reactjs, ionic,html5, CSS, C++, Python, Linux, Cloud Computing, AWS, MySQL, elasticsearch, NoSQL,Sass   IT Skills Details  Core PHP,Codeigniter Framework,Ionic Framework,Yii,Django,Web Development,C,SAAS,Wordpress,Web TechnologiesDevelopment Lead with more than four years of experience in Web,Cloud and Mobile Application 
DevelopmentSkill UsedSkill UsedSkill UsedSkill UsedJavaScriptPHPCSSPythonDJANGOWORDPRESSCODEIGNITERJOOMLABackbonejsAngularJsionic frameworkAMAZON Web ServicesReactjsnodeJSC++ Keyskills:    Python, Django, MySQL, Unity3D, AWS   Keyskills:    Java,J2EE,Spring-Boot,Hibernate,JPA,Scala, Python, Kafka, Gobblin, Spark, Hadoop, AngularJS, MongoDB, Big  ...View More  Data, Machine Learning    Keyskills:    HTML, CSS, Javascript, Jquery, Wordpress, PHP, MySql, CSS3, AngularJS   Keyskills:    Nodejs,MongoDB,AngularJS,Stronloop  ...View More  Loopback,ExpressJS,PHP,CodeIgniter,MySql,Javascript,Jqyery,AJAX,HTML,css,Java(core and advance),C language,wamp and xampp,Elastic Search, Git + bitbucket    Keyskills:    Programming Languages	:  Nodejs, ReactJs, AngularJs, Mongodb, Redis, AWS,Java,  ...View More  C,C++,PHP,Dotnet,Javascript,HTML,AJAX,Joomla FrameworkOperating System		: Windows , Linux    Keyskills:    PHP, Python, HTML, CSS, SQL, JavaScript, Ajax, Javascript, JQuery, Django, MySQL, Postgresql, Solr, Lucene,  ...View More  Search Engine, kibana, MongoDB, vagrant, docker,    Keyskills:    Microsoft Technologies, Java, AngularJs, Node.Js, Cloud Hosting, Linux Server Professional, Python, Django,  ...View More  MongoDB, MySQL, HL7    Keyskills:    NodeJS, MongoDB, AngularJS, React, Python, Product Management, Software Development, Web Applications,  ...View More  Angular, EXPRESS, JavaScript, HTML, CSS    Keyskills:    Phonegap, Android, Lotus Notes, Lotus Script, Formula Language, XPages, JavaScript, ServerSide JavaScript,  ...View More  Java, Dojo Toolkit, CSS, HTML, JQuery, RDBMS, C, C++, LAMP, PHP, CakePHP, MySQL, Linux, AngularJS, Bootstrap,NodeJS,Cloudera, Hadoop,, CoreJava"
